Id	Garganega	Glera	Moscatobianco	Passerina	Vermentino
Vitvi04g00132	869.446	968.226	1011.63	920.796	808.191
Vitvi04g00133	249.916	134.774	133.659	212.047	212.6
Vitvi04g00130	7.1813	242.129	13.0346	12.0378	243.163
Vitvi07g01068	3.08744	4.43187	3.89037	0.510342	2.24577
Vitvi07g01069	8.21966	5.01256	7.7007	5.05571	4.83437
Vitvi15g01427	202.867	246.042	209.293	162.735	186.045
Vitvi15g01426	119.969	96.1704	111.088	140.391	162.178
Vitvi15g01421	3377.9	3592.32	3358.58	3021.52	2979.2
Vitvi15g01420	14.8677	11.1013	9.01281	19.8839	41.4312
Vitvi07g01060	243.351	211.314	192.581	170.976	201.342
Vitvi07g01061	579.777	614.205	541.485	624.739	602.178
Vitvi07g01064	42.4863	38.44	44.2973	40.8656	47.8887
Vitvi07g01066	46.546	43.5636	50.851	71.3033	52.6104
Vitvi18g00172	226.845	122.882	233.969	201.348	176.651
Vitvi17g00962	0	0.292497	0.299815	0	0.321425
Vitvi09g00542	6.5063	0.623384	0.267972	3.52469	1.28805
Vitvi08g01430	95.209	59.1348	96.2793	87.7472	84.4701
Vitvi08g01431	411.669	387.669	543.26	517.866	539.521
Vitvi08g01432	95.6484	42.3833	85.9513	156.634	123.41
Vitvi08g01433	0.87268	39.7467	3.40263	1.48332	2.87784
Vitvi08g01435	33.5197	29.7469	44.0735	34.2555	25.6877
Vitvi08g01436	11.4728	6.58592	8.2048	6.35302	8.66634
Vitvi08g01438	2595.86	1168.95	1984.59	1399.77	1579.58
Vitvi08g01439	2.0629	1.92559	1.13148	3.2267	0.63926
Vitvi14g02571	73.6854	62.6811	19.6857	39.5537	57.8926
Vitvi14g02575	248.425	18.2168	0.263881	98.2928	4.1737
Vitvi05g00128	53.6273	55.724	29.1639	37.7532	58.7659
Vitvi05g00129	613.895	689.203	1252.68	429.07	607.075
Vitvi05g00122	14.0329	17.2771	12.2995	7.35714	12.8263
Vitvi05g00123	5.30008	12.0256	6.01779	3.57918	6.44088
Vitvi05g00125	47.6746	50.9845	44.1758	51.296	70.9724
Vitvi07g00339	88.9105	86.4953	74.4077	84.6434	73.5266
Vitvi07g00333	10.1308	39.6228	28.4892	23.2673	32.1448
Vitvi07g00331	5.03048	3.00175	1.39537	5.54768	2.23858
Vitvi07g00337	6.64005	2.48063	11.3517	14.6141	3.53914
Vitvi07g00336	10.1788	8.32815	12.8467	9.67513	5.16298
Vitvi07g00335	729.702	811.4	904.627	789.196	770.022
Vitvi06g00466	502.468	473.326	562.967	573.303	527.093
