Id	Garganega	Glera	Moscatobianco	Passerina	Vermentino
Vitvi18g01948	40.4136	57.7215	30.4111	43.4075	55.6326
Vitvi10g00765	33.9258	31.3061	33.7295	24.6031	41.2025
Vitvi10g00767	25.283	32.0403	33.7045	21.2227	28.5169
Vitvi10g00760	2.69763	6.8048	8.06588	11.7683	8.54013
Vitvi10g00761	30.495	37.6873	25.8606	30.351	26.4469
Vitvi18g02762	0	2.12763	5.79347	0.36039	1.87273
Vitvi18g02763	0	1.92406	3.99349	0.28526	0.39355
Vitvi18g02760	0.329893	13.4772	12.863	11.5435	30.2685
Vitvi18g02761	1.0593	6.85222	809.731	15.1321	25.2354
Vitvi18g02766	93.5603	154.905	82.2928	86.2616	98.8818
Vitvi18g02767	722.809	1113.57	1590.99	1044.41	1284.78
Vitvi18g02764	2.81501	13.9384	7.69385	10.4318	25.2793
Vitvi18g02768	0.835657	0.289452	0.380075	1.00604	2.10021
Vitvi18g02769	0	0	0	0.375049	0
Vitvi19g01977	0	0	0	0	0
Vitvi18g01492	0	1.57244	0.43086	0	0
Vitvi08g00834	5.75813	4.79571	0.878256	1.0207	3.11479
Vitvi19g01976	32.0568	47.2119	77.6485	24.4076	17.8396
Vitvi10g00490	5240.09	1234.2	1010.31	928.492	1320.66
Vitvi10g00491	44.9106	33.7993	37.8723	29.4341	51.3402
Vitvi10g00494	28.6	27.9102	36.2223	9.51859	15.6882
Vitvi11g00682	5.79111	9.30777	11.063	12.4145	13.1945
Vitvi02g01648	16.5525	16.4813	10.5471	8.15033	15.6172
Vitvi02g01644	0.329893	2.22163	0.380075	1.38109	0.390124
