Id	Barbera	Garganega	Glera	Moscatobianco	Negroamaro	Passerina	Primitivo	Refosco	Sangiovese	Vermentino
Vitvi05g01048	57.378	48.1547	61.1776	38.8001	41.8765	46.6572	43.011	58.232	61.6556	46.6998
Vitvi12g02315	2.96437	0.310398	4.05095	2.19099	1.38	2.12371	1.6675	1.0058	3.49669	4.18476
Vitvi11g01224	1.22388	2.84318	2.52937	1.66042	3.50675	2.33369	2.09045	1.88741	2.25198	3.85791
Vitvi15g01405	0	0	0	3.58426	0	0	0	1.04916	0.947731	7.07879
Vitvi07g00520	10.5262	27.1532	9.35713	28.9599	0	9.93718	11.3175	19.4162	17.7832	31.2195
Vitvi07g00525	0.971588	0.310398	0.293183	0.830209	0.533609	0	0.254358	0.278116	0	0.643379
Vitvi04g01823	15.3463	12.9386	17.9679	18.6292	19.9393	18.199	33.0358	13.8845	23.2626	10.3282
Vitvi14g02452	83.7829	59.1423	87.3429	92.9358	96.2625	92.8771	103.748	103.772	69.6037	100.649
Vitvi14g02456	0.474866	0.565005	0.620173	1.0899	1.09117	0.585799	0.2924	0.485123	1.87744	0.968491
Vitvi04g01822	3.98557	6.27438	4.46043	5.88763	4.38477	11.7806	5.29491	5.34076	5.78745	4.16995
Vitvi06g00691	178.262	192.59	172.296	205.514	169.143	175.663	171.456	236.84	187.212	164.466
Vitvi06g00690	2.51333	0.940272	2.4399	1.09736	0.818598	2.17786	1.74359	5.50441	3.20526	1.92839
Vitvi06g00693	381.807	320.159	350.515	263.369	306.584	454.035	444.638	356.681	321.497	331.934
Vitvi06g00692	7675.96	7228.33	7407.88	7465.72	7516.85	6203.77	7001.18	5737.69	6170.87	7026.79
Vitvi06g00695	589.518	666.733	468.241	427.175	644.297	606.069	496.111	568.817	620.971	759.547
Vitvi06g00694	530.686	618.674	522.419	569.633	476.609	569.228	550.407	547.776	588.417	568.633
Vitvi06g00696	208.268	194.182	221.499	189.708	250.336	237.064	230.666	157.924	197.57	199.763
Vitvi06g00699	2168.62	1893.76	2008.01	1851.98	2037.68	1965.48	2114.54	1890.98	1852.41	2235.09
Vitvi19g01576	2.56097	0	1.26716	2.22721	1.97777	4.18682	0	11.2338	7.95632	2.25637
Vitvi07g02605	0.272183	0	1.49972	1.66042	0.84639	1.35	1.46761	0.798794	1.59986	1.29186
Vitvi07g02607	0.747049	0.875403	1.83167	2.15477	2.80405	0.901021	1.85251	0.242561	3.48285	0.969612
Vitvi07g02606	0.973554	0.940272	0.310086	0.530571	0	0.522142	0	0	0	0.318266
