gene	Barbera_Touch	Negroamaro_Touch	Primitivo_Touch	Refosco_Touch	Sangiovese_Touch
Vitvi09g01572	31.2368	25.5276	37.2776	28.0618	28.7907
Vitvi09g01574	6.04255	21.5104	18.809	9.75411	11.0706
Vitvi09g01575	9.96157	15.4351	12.3178	12.9462	8.91474
Vitvi09g01576	30.4442	21.4277	27.6537	23.0982	24.3987
Vitvi09g01577	5.36566	1.60846	3.43024	6.78054	1.94585
Vitvi04g01898	3.03354	3.26368	3.21503	4.17408	5.11406
Vitvi04g01899	118.815	122.184	130.14	149.702	120.25
Vitvi04g01892	0.701404	2.20171	2.72196	0.27744	3.81729
Vitvi04g01893	768.284	691.574	855.077	684.542	562.86
Vitvi04g01890	3.21415	7.69819	1.34691	7.3698	3.53601
Vitvi04g01897	0.248993	4.91494	3.97674	1.04821	4.79783
Vitvi04g01894	2.46717	3.84909	3.54632	2.40463	2.52675
Vitvi04g01895	9.52853	64.4209	84.6555	72.3005	62.1464
Vitvi01g00537	505.305	1027.15	744.024	642.597	603.373
Vitvi01g00536	336.373	372.927	430.984	285.943	379.7
Vitvi01g00533	2516.17	1311.55	1281.99	1383.8	2085.79
Vitvi01g00532	5.6813	30.4027	19.0925	7.80423	9.54409
Vitvi01g00530	1470.37	1745.75	1375.74	2084.91	1850.15
Vitvi01g00539	219.761	262.593	468.732	596.975	814.058
Vitvi01g00538	144.162	152.999	132.473	183.039	151.815
Vitvi13g02070	22.2729	35.9965	24.9557	26.4081	26.9255
Vitvi09g00199	368.89	380.317	488.202	504.157	479.744
Vitvi09g00198	16.9317	18.3479	17.6133	15.3498	10.5246
Vitvi09g00195	189.774	210.448	242.021	209.874	217.418
Vitvi09g00194	1914.39	1487.12	1651.37	1344.36	1451.78
Vitvi09g00197	52.582	42.617	66.6433	45.9143	52.3231
Vitvi09g00196	775.714	899.439	856.157	1003.53	889.206
Vitvi09g00191	1320.21	807.683	1081.66	676.235	844.868
Vitvi09g00190	271.076	386.47	318.841	345.07	414.136
Vitvi09g00193	262.411	227.938	624.428	318.366	520.129
Vitvi09g00192	227.726	263.439	221.976	284.068	299.735
Vitvi18g01525	3.89277	8.74845	5.36518	3.33708	4.73865
Vitvi18g01524	417.146	346.543	358.889	354.455	328.188
Vitvi14g01888	2470.91	1968.12	2799.18	2413.11	2343.07
Vitvi13g02073	3.86998	2.15108	3.24316	4.86455	5.07911
Vitvi14g01889	1157.8	1134.56	1117.74	1129.42	1175.73
Vitvi09g00229	7.24368	0.800354	0.292599	1.11913	0.308618
Vitvi09g00228	6.31608	1.38189	0.867233	0.564252	0.644579
Vitvi09g00223	130.583	87.3744	193.019	138.713	112.245
Vitvi09g00221	456.764	279.187	399.532	357.466	450.777
Vitvi09g00220	2067.13	2520.04	2318.76	2382.36	2295.41
Vitvi09g00227	129.599	174.314	81.3498	145.592	68.4963
Vitvi09g00226	150.146	173.651	259.793	125.096	111.555
Vitvi09g00225	451.689	813.75	642.296	659.783	874.02
Vitvi09g00224	213.772	127.255	188.802	161.252	173.432
Vitvi14g01881	0.769786	3.56026	0.613329	0.564252	0.316233
Vitvi01g00399	114.807	135.43	53.7136	60.8584	105.79
Vitvi01g00398	211.372	513.353	237.482	147.025	149.476
Vitvi01g00393	39.6782	76.116	107.758	42.6027	63.7782
Vitvi01g00392	197.336	167.178	182.285	146.164	160.531
Vitvi01g00391	124.132	94.8997	127.43	106.42	102.372
Vitvi01g00397	1344.04	3008.64	1195.15	670.348	841.575
Vitvi01g00394	2.83013	3.22088	2.20358	0.564252	0.328346
Vitvi07g01421	101.766	68.6476	76.0689	91.6877	93.7099
Vitvi07g01424	0	0.269369	1.18796	12.3507	27.3736
Vitvi07g01425	23.4495	12.0666	11.5321	16.8475	9.5472
Vitvi07g01429	1.01878	0	0.546504	1.36111	0.328346
Vitvi19g01966	21.1857	45.0571	42.8046	14.6546	27.579
Vitvi12g00139	406.411	313.988	334.025	235.514	427.322
Vitvi12g00138	329.046	370.598	546.91	331.699	350.669
Vitvi12g00137	100.319	228.277	193.023	253.887	78.9587
Vitvi12g00131	35.0823	32.2803	20.687	17.9573	17.5496
Vitvi19g01962	0.792572	0.269369	61.221	11.8485	76.855
Vitvi10g00308	0.54358	0.554323	2.38649	0.766081	0.617237
Vitvi10g00309	119.197	133.922	120.915	119.267	98.6464
Vitvi10g00306	303.846	257.645	330.003	307.205	313.935
Vitvi10g00307	274.352	201.836	343.504	173.826	470.586
Vitvi10g00304	593.788	528.038	653.52	612.252	558.91
Vitvi19g01963	43.2062	6.56232	11.5251	7.60817	18.7001
Vitvi10g00302	8.87267	44.6349	15.7305	26.547	15.8819
Vitvi10g00300	1.04158	0.554323	1.05431	2.35979	1.28916
Vitvi10g00301	21.9555	26.0266	25.953	18.0564	15.876
Vitvi15g00004	6296.88	6734.12	7696.05	10349.1	8100.64
Vitvi15g00005	383.59	408.652	362.292	433.493	755.59
Vitvi15g00006	1442.59	2433.61	2080.95	2172.09	2060.7
Vitvi04g01339	2.12701	0.530984	0.574634	1.84506	0.941084
Vitvi04g01338	130.49	258.108	119.683	68.589	113.681
Vitvi04g01337	0.973184	1.1164	0.905928	1.12382	1.28154
Vitvi04g01336	35.9871	50.0468	41.4738	47.1915	68.8523
Vitvi04g01335	1.08716	2.73657	4.59007	2.05627	2.87932
Vitvi04g01334	54.3233	31.1252	79.5828	95.6487	133.965
Vitvi04g01332	67.9498	84.7207	72.0218	94.8561	73.6166
Vitvi07g00488	18.6765	7.70206	9.90317	15.7628	18.1641
Vitvi07g00481	746.466	809.613	707.493	696.671	679.503
Vitvi07g00483	12.4937	6.55457	19.6362	15.73	6.66477
Vitvi07g00482	813.117	833.139	843.628	716.603	776.315
Vitvi07g00485	0	0	0	0	0
Vitvi07g00484	223.386	328.483	314.658	235.401	298.117
Vitvi07g00487	35.5592	23.4543	20.803	33.2221	36.7585
Vitvi07g00486	280.455	300.986	413.125	216.258	259.001
Vitvi06g00719	73.9957	78.8751	19.146	59.4301	34.4251
Vitvi06g00714	0	0	0	0	4.77672
Vitvi06g00715	1067.99	649.547	964.728	1605.28	990.432
Vitvi07g02430	117.346	142.461	165.964	176.982	239.491
Vitvi07g02434	0.973194	1.91675	2.12202	0.796857	0
Vitvi06g00713	68.6546	69.2105	112.118	48.2694	104.181
Vitvi12g01352	65.0775	70.8103	75.4935	59.3121	62.2744
Vitvi04g02157	5.25172	2.95926	2.8943	2.83906	30.2605
Vitvi04g02152	225.787	270.797	251.772	265.443	263.563
Vitvi04g02150	3.55431	5.00442	3.54632	2.32902	2.23474
Vitvi04g02151	1.38002	4.45793	4.02883	0.846378	4.74176
Vitvi07g01165	199.955	166.276	157.449	78.9203	78.9732
Vitvi07g01164	26.3674	12.3476	15.9745	11.9663	14.0333
Vitvi07g01167	4.55032	4.7	2.41462	1.12382	1.23447
Vitvi07g01166	23.1338	29.9067	24.2903	38.4464	32.6962
Vitvi07g01163	19.3077	22.8485	11.2635	16.0231	14.4927
Vitvi07g01162	30.6476	52.1824	32.5651	48.3941	58.6949
Vitvi07g01168	4.8221	2.75215	3.94861	1.8899	0.941084
Vitvi15g00981	0	0	0.320729	17.8806	0
Vitvi15g00985	945.276	1037.82	1297.72	902.028	1242.83
Vitvi15g00986	530.455	529.361	620.395	567.291	634.989
Vitvi15g01058	192.064	254.499	285.252	154.351	331.742
Vitvi15g01059	975.897	890.695	1075.41	815.327	1294.56
Vitvi15g01054	344.914	454.532	379.654	510.566	290.92
Vitvi15g01055	1415.03	1314.09	1355.26	1714.31	1061.4
Vitvi15g01056	648.295	490.106	482.354	490.112	466.834
Vitvi15g01052	86.2421	71.8528	97.3747	98.9827	46.5942
Vitvi15g01053	613.778	629.726	699.25	740.397	605.886
Vitvi14g01608	1401.71	1336.54	1636.01	1266.72	1491.31
Vitvi14g01609	638.962	595.608	701.061	543.712	678.12
Vitvi14g01604	219.506	170.791	242.993	136.194	199.604
Vitvi14g01605	507.712	479.053	432.788	691.515	473.948
Vitvi14g01606	637.989	596.136	495.816	633.684	633.628
Vitvi14g01607	620.671	713.518	590.735	600.222	742.48
Vitvi14g01600	0.701404	0.288831	0.585198	0	0
Vitvi14g01602	811.097	685.384	714.661	619.13	714.568
Vitvi14g01603	709.875	817.843	802.964	682.083	677.772
Vitvi19g00547	554.857	630.175	647.908	710.644	736.932
Vitvi19g00546	0.475198	0.5582	8.84185	9.45684	2.22263
Vitvi19g00541	286.246	223.214	267.054	276.632	256.131
Vitvi19g00543	4.50473	1.909	21.2335	29.2498	8.27466
Vitvi19g00542	1.04158	0.843154	2.16072	1.08367	1.60989
Vitvi19g00549	108559	110747	132500	188386	136862
Vitvi05g00533	45.0438	38.3158	41.2995	34.5029	50.5437
Vitvi05g00532	1.4256	5.70358	2.37593	2.64192	5.7268
Vitvi05g00530	891.684	1242.48	1390.96	1149.11	932.433
Vitvi05g00537	145.314	158.425	182.99	179.723	149.181
Vitvi05g00536	12.1324	6.91342	13.4214	8.89258	4.75837
Vitvi05g00535	2.28656	1.64738	4.85454	1.03883	2.26658
Vitvi05g00534	116.415	99.5344	116.298	128.056	99.7771
Vitvi05g00539	1919.12	741.799	1118.69	713.229	1038
Vitvi05g00538	29.9655	33.9357	37.6195	25.603	25.3367
Vitvi19g00093	90.7223	76.1084	71.5153	67.2837	85.7258
Vitvi19g00091	2203.52	2546.57	2647.65	2715.14	2366.3
Vitvi19g00090	0	0.269369	0	0.27744	0
Vitvi19g00097	1.94638	0	0.292599	0.27744	0
Vitvi19g00096	262.81	293.729	206.117	257.089	328.598
Vitvi11g01143	1.72017	0.866493	7.65389	2.12719	0.960812
Vitvi19g00094	60.8901	71.2322	22.408	105.926	57.0932
Vitvi19g00099	3156.07	2375.52	3220.96	3247.79	2719.28
Vitvi19g00098	6.42832	6.30846	20.8846	12.9957	13.0285
Vitvi05g00968	977.327	1138.59	1089.63	929.988	1073.76
Vitvi05g00969	5.20613	2.18225	1.19853	1.36579	0.93347
Vitvi14g03015	364.276	37.2626	246.271	438.578	197.419
Vitvi17g00843	97.4418	82.2565	103.331	87.9356	87.0543
Vitvi17g00022	0.248993	1.97514	1.4243	0.519417	0.972926
Vitvi14g03013	2.82841	0.5582	4.59007	9.78488	8.25493
Vitvi14g03012	7.42431	0	12.5154	26.3894	9.53959
Vitvi01g00989	12.3359	11.7933	14.4855	5.95917	13.6184
