gene	Barbera_Soft	Negroamaro_Soft	Primitivo_Soft	Refosco_Soft	Sangiovese_Soft
Vitvi16g01696	102.638	89.4099	84.4875	90.7684	95.2623
Vitvi11g00113	269.653	263.454	278.84	180.925	272.365
Vitvi01g01414	4.29922	34.0264	14.6034	30.1868	12.1429
Vitvi12g01323	224.065	265.267	289.767	224.003	218.494
Vitvi13g01320	0.830873	1.38536	0	1.60505	0.929078
Vitvi13g01323	101.941	42.7399	82.1512	42.9327	31.4639
Vitvi18g01511	53.8518	55.7884	70.7993	32.9155	85.0487
Vitvi18g01512	79.0212	39.4938	73.3789	57.194	41.3452
Vitvi18g01518	3.52331	9.37086	4.53895	6.33342	8.31335
Vitvi10g01084	8.71765	42.1083	9.82733	59.3109	16.4065
Vitvi10g01083	58.6661	51.3205	60.385	63.3207	37.4876
Vitvi16g00120	2.52381	10.6408	3.97045	6.07815	7.97353
Vitvi17g00575	97.7055	81.0949	99.7234	86.6967	68.6944
Vitvi16g00122	6.4672	5.72491	7.1702	29.3686	3.55469
Vitvi16g00123	0.265937	2.1101	0	0.413113	2.15851
Vitvi09g00253	0.774044	10.6117	0	9.34628	4.85161
Vitvi09g00254	0	0.654598	0.419536	0	1.35671
Vitvi09g00258	0.709788	2.88195	0	0.765694	0
Vitvi02g00619	25.5531	27.1198	50.9105	58.661	43.2925
Vitvi02g00618	42.1705	27.8626	78.2263	82.8314	69.4186
Vitvi10g00689	52.6469	51.5299	66.3317	91.9103	112.892
Vitvi15g01709	4.98337	25.0689	12.261	14.8232	11.588
Vitvi10g00683	0.387022	1.3092	1.13552	1.17881	0.427636
Vitvi10g00682	240.013	265.403	228.404	163.876	256.429
Vitvi10g00681	515.424	523.169	484.892	530.52	526.886
Vitvi10g00680	3.16935	1.65102	0.345056	1.9445	2.21199
Vitvi10g00685	0.830873	5.80107	1.1431	0.83936	0
Vitvi10g00684	164.85	210.814	163.079	128.849	175.445
Vitvi10g00350	5.86365	6.11987	3.45517	1.24591	10.7862
Vitvi10g00352	0.387022	2.76469	1.93357	0.413113	1.73087
Vitvi10g00355	1.18483	4.53899	2.48229	1.59849	1.28291
Vitvi10g00354	0.531875	0.613504	0.378508	0.41968	2.73376
Vitvi10g00358	24.6175	8.79635	19.2762	12.5458	10.4579
Vitvi15g01705	32.5704	65.567	53.9369	21.9985	74.5374
Vitvi07g00708	310.595	239.053	284.95	332.46	239.892
