Id	Barbera	Garganega	Glera	Moscatobianco	Negroamaro	Passerina	Primitivo	Refosco	Sangiovese	Vermentino
Vitvi01g02023	1004.68	900.868	862.603	962.597	635.737	774.695	844.598	933.339	1055.03	949.58
Vitvi01g02022	168.338	213.505	144.871	190.738	197.664	183.524	218.983	167.966	151.278	133.5
Vitvi01g02021	398.633	266.592	400.949	337.667	471.291	369.51	394.357	367.903	347.179	428.342
Vitvi01g02020	0.887248	39.0214	15.4782	0	0	1.00187	2.52693	2.72592	13.122	5.9786
Vitvi19g02108	163.062	313.08	97.6859	74	74.9109	47.0766	179.361	99.9233	302.017	145.926
Vitvi01g02029	16.5331	6.00877	7.08874	39.0869	74.3422	2.95948	14.6529	21.1419	13.9215	7.52615
Vitvi01g02028	190.106	189.449	123.281	150.895	230.754	162.622	187.768	249.714	169.82	168.454
Vitvi02g00231	744.788	723.257	885.074	831.059	987.886	879.675	698.466	1187.04	832.814	756.009
Vitvi02g00230	738.029	689.525	629.539	584.656	642.227	705.287	723.259	625.109	601.241	576.643
Vitvi17g00038	740.036	882.688	472.29	830.762	681.135	627.408	721.578	448.795	429.067	512.048
Vitvi02g00239	815.729	576.049	707.635	788.111	766.091	737.47	909.773	593.718	819.596	707.527
Vitvi02g00238	232.962	343.006	447.877	292.239	347.864	391.555	353.464	171.63	320.682	301.773
Vitvi16g01488	89.8812	97.4898	71.341	63.0887	62.3094	65.4074	82.9761	74.9084	123.921	101.293
Vitvi16g01489	41.9952	32.4046	72.676	44.7193	44.409	14.7369	19.5823	20.8228	67.2451	36.9806
Vitvi01g01359	49.2587	9.38654	22.5495	27.5554	29.073	5.27598	56.4142	39.8134	33.8233	27.1255
Vitvi12g02686	1124.75	1035.31	1021.71	898.085	820.115	780.018	804.427	852.085	697.969	930.579
Vitvi09g01101	13.9531	4.32011	4.90582	4.52902	2.46209	9.67103	10.553	1.89171	4.31501	2.25836
Vitvi09g01106	5.7475	0	7.61813	0.854789	0	2.77888	2.39263	5.22852	0.931524	2.32388
Vitvi03g01576	5019.18	12472	27.1406	15373.1	77.7055	5574.76	2360.7	3.1909	8.26045	7602.8
Vitvi03g01574	8.06803	10.1925	8.1581	4.56348	3.42465	7.13091	4.85559	3.62193	13.8226	4.49154
Vitvi03g01572	45.6633	12.2456	3.67431	2.9573	4.41686	1.74833	0	0	2.40835	11.0146
Vitvi03g01573	447.222	438.249	521.022	457.743	448.383	522.732	517.635	491.321	443.83	523.284
Vitvi03g01571	2.58062	5.10336	3.18232	2.90458	6.81387	4.1253	4.21795	6.55445	3.09736	1.48706
Vitvi03g01579	86.3954	88.8403	135.343	133.988	97.6795	96.224	106.408	135.119	84.373	83.7409
Vitvi11g00985	0.652845	0.43424	1.85685	0.443603	0.690862	1.01621	2.20318	0.419885	1.47683	0
Vitvi11g00981	0	1.05233	2.49559	0.753443	2.49752	0.9414	2.64257	1.25966	0.617154	1.08885
Vitvi11g00983	6.36453	9.61137	3.25228	3.60939	3.7672	2.15254	3.38843	5.65954	4.96041	5.06111
Vitvi13g02037	4.68686	3.47718	1.37344	0.854789	2.69836	3.8722	2.02462	2.84954	5.93554	5.60557
Vitvi19g01604	2.21305	3.62816	4.82045	3.84246	2.30885	3.70594	1.18525	5.04309	6.67975	7.83875
Vitvi19g01601	0	0.831552	0	0	0	0.284084	2.13922	0	4.8719	2.40956
Vitvi19g01603	423.932	373.865	295.106	314.922	371.098	351.894	299.862	328.239	244.673	285.45
Vitvi17g00032	165.781	103.148	165.64	89.4626	115.48	137.46	117.1	103.307	135.424	140.915
Vitvi11g01588	0.443624	1.5235	2.58096	4.54727	2.49752	1.38944	1.52128	1.05751	1.04699	1.17453
Vitvi13g01920	9.76698	9.89058	12.6113	9.60503	8.63206	8.86099	6.99482	7.47831	7.75498	11.5791
Vitvi13g01921	0.973947	1.19599	2.2309	1.69132	2.45633	1.01621	1.25906	0.77239	2.98189	1.70386
Vitvi13g01924	401.003	249.495	474.114	317.96	319.635	623.734	507.624	277.195	260.122	286.317
Vitvi13g01925	963.527	863.123	602.858	1033.38	750.017	719.74	684.229	826.22	727.05	981.921
Vitvi13g01929	0.265161	0	0	0	0.348314	0.358892	0.377856	0	0	0
Vitvi17g00030	69.7114	240.776	102.002	208.226	40.3095	117.163	151.157	179.399	102.366	117.218
Vitvi10g01798	7.08902	10.0785	16.3402	2.06804	5.78046	4.91709	11.5267	5.18342	9.22022	8.0958
Vitvi10g01799	39.8705	30.6543	46.7265	39.3215	31.523	28.2286	42.2365	37.7318	36.4793	24.6805
Vitvi10g01793	118.494	130.53	143.175	155.298	127.583	125.701	139.449	173.655	161.989	135.34
Vitvi10g01790	1015.23	797.519	438.454	289.157	482.216	586.867	716.005	444.498	292.326	407.941
Vitvi10g01797	0	0.397312	0	0.443603	0	0	1.13357	1.18671	0	0.393185
Vitvi10g01794	0.530323	0.831552	0.951415	1.28218	1.1158	0.373233	0.345877	0.352505	1.00338	1.47701
Vitvi11g01634	0	4.1322	4.89042	0	5.59115	0.852251	5.69739	0.83977	5.89193	2.65155
Vitvi11g01635	0	0.761749	1.34945	0	1.80666	0	2.58104	0	4.64604	0.388163
Vitvi11g01637	0.443624	1.37984	30.4469	2.56232	0	1.3751	4.79407	0.705009	6.50908	5.84748
Vitvi11g01630	3.3761	0	1.06077	2.10251	2.73379	0.284084	2.18105	3.08399	3.28468	2.4852
Vitvi11g01633	1.09647	9.82078	1.77148	0	2.30885	5.35079	2.1712	3.49831	14.5116	0.781348
Vitvi02g00149	96.9473	86.8522	71.5072	62.7601	87.0861	71.9678	83.6461	81.8643	72.176	66.9139
Vitvi02g00148	6.54299	0.794624	0	1.69132	0.690862	0.358892	4.62778	0	3.78636	0.781348
Vitvi02g00145	726.48	1344.35	2019.04	1506.26	663.701	655.318	1118.82	1079.3	1169.91	1558.17
Vitvi02g00147	3078.66	1151.12	1144.33	2514.07	1851.79	1507.25	2025.19	1996.37	1666.71	1043.06
Vitvi02g00146	707.259	531.875	726.828	433.916	524.921	632.732	641.212	515.128	331.907	247.154
Vitvi02g00141	0.387683	0	6.74068	2.98971	0	0	0	5.64283	0	0
Vitvi02g00140	0	8.0067	21.3506	0.443603	3.34803	5.5767	0	15.763	0	2.26338
Vitvi02g00143	308.554	300.088	318.423	342.854	317.608	359.454	357.59	298.558	361.663	331.001
Vitvi02g00142	258.933	248.549	259.242	239.606	234.402	255.226	330.523	194.584	284.852	236.023
Vitvi01g01707	191.863	141.399	143.799	163.064	117.646	87.6062	152.38	135.421	87.8334	102.645
Vitvi01g01705	2.24888	3.37045	1.32546	1.24772	2.46209	2.3165	1.97294	3.49274	2.91004	1.95086
Vitvi01g01704	6.64539	12.4335	13.7392	5.30072	10.2978	12.165	9.93401	7.89819	11.8275	9.16449
Vitvi01g01703	606.656	587.214	582.457	693.591	598.27	648.628	617.453	596.675	496.887	625.505
Vitvi01g01702	4.04907	4.56644	8.41421	5.86187	8.51424	6.33521	8.00393	6.599	8.06935	11.3824
Vitvi01g01700	163.241	205.984	149.273	125.227	171.007	164.492	104.817	129.537	101.276	157.44
Vitvi01g01709	1129.74	894.804	1078.94	1145	1008.48	1016.79	873.374	852.779	734.748	934.648
Vitvi01g01708	317.372	154.126	200.824	211.328	151.184	155.271	250.467	171.421	119.781	142.7
Vitvi01g00076	648.666	529.056	510.17	717.213	650.9	610.482	600.798	618.745	541.395	567.911
Vitvi01g00077	83.3617	133.362	94.2963	68.414	87.9114	88.0952	109.652	68.0888	93.5328	56.4388
Vitvi01g00074	511.095	425.463	483.045	302.772	563.062	586.828	463.512	400.919	559.418	511.064
Vitvi01g00075	152.281	330.24	306.121	261.389	313.365	381.962	233.182	137.212	198.8	231.865
Vitvi01g00070	1213.45	1282.24	1108.01	1785.43	1095.7	1126.4	1439.55	1444.77	982.581	1275.84
Vitvi01g00071	3110.57	1986.8	1920.54	1929.59	2133.65	1834.77	2010.06	1955.75	1738.02	2006.93
Vitvi01g00078	16.8296	9.02616	13.3152	11.2984	17.4658	18.8146	9.41942	12.6394	16.0154	11.2615
Vitvi01g00079	39.4974	25.1946	35.3641	34.6906	43.268	36.0827	30.9648	46.5934	51.1719	37.7267
Vitvi18g02739	20.8637	38.331	57.1092	28.7195	21.8769	24.6837	8.79162	9.13557	22.0831	95.9249
Vitvi18g02738	34.673	41.9503	29.3536	20.0811	41.77	20.5366	19.5562	18.0128	42.9447	23.1532
Vitvi18g02735	4.9162	5.64433	4.77247	2.49544	5.30793	3.45054	3.7343	2.78773	3.09736	4.09836
Vitvi18g02734	63.6778	88.5457	70.0979	108.022	106.481	84.6889	80.6338	75.9581	74.4509	54.2713
Vitvi18g02731	0	0.43424	0.577364	0	0.348314	1.09102	1.52128	1.18671	0	0.776326
Vitvi18g02730	19.7917	57.7985	138.91	532.951	153.467	147.135	30.1441	58.1419	13.2375	25.0688
Vitvi18g02733	42.8747	56.5189	55.7795	48.6324	91.1011	56.7839	74.0291	32.7589	34.683	30.6037
Vitvi18g02732	2570.76	2331.25	3186.61	2771.17	2811.81	2319.49	3432.24	2314.64	1905.83	2520.59
Vitvi18g01424	0	58.6162	23.6343	23.482	82.3662	0	79.7372	38.1027	1.54868	21.6208
Vitvi18g01425	0	0	0	6.71461	0	0	0	0	0	0
Vitvi18g01426	613.188	687.286	569.619	803.755	713.255	436.214	961.235	546.45	367.472	638.207
Vitvi18g01427	3647.02	4128.46	2866.5	2535.41	3748.94	2409.29	3897.21	2623.79	2129.75	2118.55
Vitvi14g01055	209.55	174.173	229.432	240.41	264.735	208.042	143.962	256.762	273.839	245.052
Vitvi18g00778	358.95	215.834	242.769	276.243	204.232	210.716	207.409	332.935	250.3	304.238
Vitvi18g00773	0	0.397312	0	0.804116	0	0	0	0	0	2.88843
Vitvi18g00771	0	6.78921	0	0.804116	0	0.732125	0	0	0	0
Vitvi18g00770	0	0.32751	0	0	0	0.732125	0	0	0	0
Vitvi14g01057	99.0478	102.064	100.329	118.845	126.047	113.031	99.4927	114.202	111.278	130.395
Vitvi18g00775	3483.05	4228.21	4083.93	5304.56	3591.68	4357.18	5306.61	5099.24	3777.17	5600.74
Vitvi14g01052	8.63975	8.69459	12.5365	14.8551	0.30712	6.92082	21.8396	12.2012	36.1099	5.07123
Vitvi17g00490	482.292	478.827	527.365	447.709	749.78	782.918	398.731	453.082	516.265	592.85
Vitvi17g00493	1.80525	0	1.03678	0	1.1158	2.04676	1.98279	0	0	1.08885
Vitvi17g00492	31.4608	19.8623	40.0015	23.5447	65.6386	75.5869	20.6642	16.5298	20.9758	23.3498
